station_buoy,station_id,station_name,station_type,station_year,wave_instrument
44138,C44138,SW_Grand_Banks,AE,1988,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1989,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1990,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1991,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1992,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1993,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1994,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1995,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1996,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1997,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,1998,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AW,1998,"MSC buoy data with bad Watchman payload. (Truncated spectra, VCAR=VWH$, VTPK=VTP$)"
44138,C44138,SW_Grand_Banks,AW,1999,"MSC buoy data with bad Watchman payload. (Truncated spectra, VCAR=VWH$, VTPK=VTP$)"
44138,C44138,SW_Grand_Banks,AE,1999,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2000,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2001,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2002,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2003,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2004,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2005,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2006,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44138,C44138,SW_Grand_Banks,AE,2007,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
